# rmin,rmaj,elong,ne,nh,nz,nf,zeff,te,ti,q,btor,zimp,aimp,ahyd,aimass,wexbs,gne,gni,gnh,gnz,gte,gti,gq,gvtor,vtor,gvpol,vpol,gvpar,vpar
# m,m,m^-3,m^-3,m^-3,m^-3,,keV,keV,,Tesla,,,rad/s,,,,m/s,,m/s,,m/s
0.0000e+00,9.9578e-01,1.4780e+00,5.3220e+19,2.6780e+14,3.1860e+18,3.6240e+18,2.2230e+00,1.1600e+00,1.2360e+00,1.3140e+00,5.5490e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06,1.1970e+05,1.0000e-06,-1.1590e+03,1.0000e-06,1.1890e+05
4.6020e-03,9.9577e-01,1.4780e+00,5.3200e+19,2.6790e+14,3.1840e+18,3.6190e+18,2.2230e+00,1.1600e+00,1.2350e+00,1.3140e+00,5.5490e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,8.7950e-02,-5.6530e-03,-6.5510e-02,1.7690e-01,6.7550e-02,2.8270e-01,5.2150e-02,1.1740e-01,1.1970e+05,-1.5990e+00,-1.1650e+03,1.3520e-01,1.1890e+05
8.5060e-03,9.9575e-01,1.4780e+00,5.3180e+19,2.6800e+14,3.1820e+18,3.6120e+18,2.2220e+00,1.1600e+00,1.2340e+00,1.3140e+00,5.5490e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,1.5970e-01,-1.1690e-02,-1.1670e-01,3.2790e-01,1.2060e-01,5.1580e-01,9.4300e-02,2.1320e-01,1.1960e+05,-2.8380e+00,-1.1730e+03,2.4460e-01,1.1880e+05
1.1848e-02,9.9571e-01,1.4780e+00,5.3160e+19,2.6810e+14,3.1800e+18,3.6040e+18,2.2210e+00,1.1590e+00,1.2320e+00,1.3150e+00,5.5480e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,2.1710e-01,-1.8020e-02,-1.5490e-01,4.5600e-01,1.6080e-01,7.0470e-01,1.2750e-01,2.8970e-01,1.1950e+05,-3.7570e+00,-1.1830e+03,3.3090e-01,1.1870e+05
1.4763e-02,9.9566e-01,1.4780e+00,5.3130e+19,2.6820e+14,3.1760e+18,3.5940e+18,2.2200e+00,1.1590e+00,1.2300e+00,1.3150e+00,5.5480e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,2.6170e-01,-2.4550e-02,-1.8160e-01,5.6390e-01,1.8940e-01,8.5460e-01,1.5280e-01,3.4920e-01,1.1940e+05,-4.3910e+00,-1.1950e+03,3.9700e-01,1.1860e+05
1.7387e-02,9.9559e-01,1.4790e+00,5.3100e+19,2.6830e+14,3.1720e+18,3.5820e+18,2.2180e+00,1.1580e+00,1.2270e+00,1.3150e+00,5.5480e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,2.9530e-01,-3.1190e-02,-1.9820e-01,6.5440e-01,2.0810e-01,9.7070e-01,1.7130e-01,3.9400e-01,1.1930e+05,-4.7790e+00,-1.2090e+03,4.4560e-01,1.1850e+05
1.9855e-02,9.9551e-01,1.4790e+00,5.3060e+19,2.6850e+14,3.1670e+18,3.5680e+18,2.2160e+00,1.1570e+00,1.2240e+00,1.3160e+00,5.5470e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,3.1970e-01,-3.7830e-02,-2.0600e-01,7.3050e-01,2.1840e-01,1.0580e+00,1.8410e-01,4.2650e-01,1.1920e+05,-4.9570e+00,-1.2240e+03,4.7920e-01,1.1840e+05
2.2303e-02,9.9542e-01,1.4790e+00,5.3010e+19,2.6860e+14,3.1610e+18,3.5530e+18,2.2140e+00,1.1570e+00,1.2210e+00,1.3170e+00,5.5470e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,3.3650e-01,-4.4400e-02,-2.0660e-01,7.9500e-01,2.2180e-01,1.1230e+00,1.9210e-01,4.4900e-01,1.1910e+05,-4.9640e+00,-1.2400e+03,5.0080e-01,1.1820e+05
2.4867e-02,9.9530e-01,1.4790e+00,5.2960e+19,2.6880e+14,3.1540e+18,3.5370e+18,2.2110e+00,1.1560e+00,1.2170e+00,1.3170e+00,5.5460e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,3.4750e-01,-5.0800e-02,-2.0120e-01,8.5060e-01,2.1970e-01,1.1700e+00,1.9660e-01,4.6390e-01,1.1890e+05,-4.8370e+00,-1.2580e+03,5.1290e-01,1.1810e+05
2.7681e-02,9.9518e-01,1.4800e+00,5.2910e+19,2.6890e+14,3.1450e+18,3.5190e+18,2.2070e+00,1.1550e+00,1.2130e+00,1.3180e+00,5.5450e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,3.5450e-01,-5.6920e-02,-1.9130e-01,9.0030e-01,2.1380e-01,1.2040e+00,1.9840e-01,4.7330e-01,1.1880e+05,-4.6120e+00,-1.2760e+03,5.1840e-01,1.1790e+05
3.0883e-02,9.9504e-01,1.4800e+00,5.2840e+19,2.6910e+14,3.1360e+18,3.4990e+18,2.2020e+00,1.1540e+00,1.2080e+00,1.3190e+00,5.5450e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,3.5910e-01,-6.2690e-02,-1.7830e-01,9.4690e-01,2.0540e-01,1.2300e+00,1.9880e-01,4.7970e-01,1.1860e+05,-4.3290e+00,-1.2950e+03,5.2000e-01,1.1770e+05
3.4565e-02,9.9488e-01,1.4800e+00,5.2770e+19,2.6930e+14,3.1240e+18,3.4770e+18,2.1970e+00,1.1540e+00,1.2020e+00,1.3200e+00,5.5440e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,3.6300e-01,-6.8000e-02,-1.6340e-01,9.9320e-01,1.9600e-01,1.2550e+00,1.9860e-01,4.8530e-01,1.1840e+05,-4.0200e+00,-1.3140e+03,5.2020e-01,1.1740e+05
3.8663e-02,9.9471e-01,1.4810e+00,5.2700e+19,2.6940e+14,3.1120e+18,3.4550e+18,2.1910e+00,1.1530e+00,1.1960e+00,1.3210e+00,5.5430e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,3.6790e-01,-7.2750e-02,-1.4760e-01,1.0420e+00,1.8670e-01,1.2820e+00,1.9900e-01,4.9240e-01,1.1810e+05,-3.7040e+00,-1.3340e+03,5.2160e-01,1.1720e+05
4.3067e-02,9.9453e-01,1.4810e+00,5.2620e+19,2.6960e+14,3.0980e+18,3.4300e+18,2.1850e+00,1.1520e+00,1.1900e+00,1.3220e+00,5.5420e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,3.7520e-01,-7.6820e-02,-1.3140e-01,1.0970e+00,1.7860e-01,1.3170e+00,2.0060e-01,5.0300e-01,1.1790e+05,-3.3970e+00,-1.3540e+03,5.2650e-01,1.1690e+05
4.7669e-02,9.9433e-01,1.4810e+00,5.2530e+19,2.6970e+14,3.0820e+18,3.4050e+18,2.1770e+00,1.1510e+00,1.1830e+00,1.3230e+00,5.5410e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,3.8650e-01,-8.0090e-02,-1.1550e-01,1.1610e+00,1.7260e-01,1.3640e+00,2.0460e-01,5.1930e-01,1.1760e+05,-3.1140e+00,-1.3740e+03,5.3720e-01,1.1670e+05
5.2363e-02,9.9412e-01,1.4820e+00,5.2430e+19,2.6990e+14,3.0650e+18,3.3780e+18,2.1690e+00,1.1500e+00,1.1750e+00,1.3250e+00,5.5400e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,4.0330e-01,-8.2460e-02,-1.0060e-01,1.2380e+00,1.6970e-01,1.4270e+00,2.1170e-01,5.4350e-01,1.1730e+05,-2.8700e+00,-1.3940e+03,5.5610e-01,1.1640e+05
5.7057e-02,9.9389e-01,1.4820e+00,5.2330e+19,2.7000e+14,3.0470e+18,3.3490e+18,2.1600e+00,1.1490e+00,1.1670e+00,1.3260e+00,5.5380e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,4.2670e-01,-8.3710e-02,-8.7140e-02,1.3280e+00,1.7060e-01,1.5110e+00,2.2250e-01,5.7690e-01,1.1700e+05,-2.6760e+00,-1.4120e+03,5.8480e-01,1.1610e+05
6.1725e-02,9.9365e-01,1.4820e+00,5.2220e+19,2.7010e+14,3.0270e+18,3.3200e+18,2.1500e+00,1.1480e+00,1.1580e+00,1.3270e+00,5.5370e-01,6.0000e+00,1.2000e+01,2.0000e+00,2.0000e+00,0.0000e+00,4.5540e-01,-8.3290e-02,-7.4410e-02,1.4270e+00,1.7480e-01,1.6090e+00,2.3660e-01,6.1830e-01,1.1670e+05,-2.5170e+00,-1.4300e+03,6.2180e-01,1.1570e+05
