# rmin,xti,xdi,xte,xdz,xvt,xvp,xtiW20,xdiW20,xteW20,xtiDBM,xdiDBM,xteDBM,xteETG,xteMTM,xteETGM,xdiETGM,gmaW20ii,omgW20ii,gmaW20ie,omgW20ie,gmaW20ei,omgW20ei,gmaW20ee,omgW20ee,gmaDBM,omgDBM,gmaMTM,omgMTM,gmaETGM,omgETGM,dbsqprf
# m,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1
0.0000e+00,0.0000e+00,0.0000e+00,3.0330e-23,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.0330e-23,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.4090e-07,9.3130e-10,0.0000e+00,0.0000e+00,5.2730e-31
1.1897e-02,0.0000e+00,0.0000e+00,1.6300e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.6300e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,6.1410e+03,4.2400e+04,0.0000e+00,0.0000e+00,2.8270e-08
2.1142e-02,0.0000e+00,0.0000e+00,8.6820e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,8.6820e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,6.5840e+03,4.5530e+04,0.0000e+00,0.0000e+00,1.4990e-08
3.5878e-02,0.0000e+00,0.0000e+00,4.4020e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.4020e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,6.9110e+03,4.4880e+04,0.0000e+00,0.0000e+00,7.5480e-09
5.1768e-02,0.0000e+00,0.0000e+00,5.9140e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.8020e-01,1.1120e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,8.5330e+03,4.7030e+04,6.3100e+04,2.1900e+05,8.1660e-09
6.6833e-02,0.0000e+00,0.0000e+00,1.5500e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,5.4420e-01,1.0050e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1280e+04,3.8130e+04,1.5040e+05,2.0750e+05,9.1660e-09
8.1390e-02,0.0000e+00,2.0200e-01,2.5240e+00,-1.3860e-01,1.0710e-01,6.6600e-02,0.0000e+00,1.1470e-01,8.9470e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,5.6010e-01,1.9550e+00,8.7220e-02,4.5110e+04,-4.6360e+05,1.8740e+04,3.9250e+05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.5470e+04,3.7280e+04,2.0740e+05,2.0330e+05,9.3350e-09
9.5696e-02,0.0000e+00,7.4750e-01,3.3840e+00,-5.8680e-01,6.2680e-01,3.3610e-01,0.0000e+00,3.0740e-01,3.7590e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,5.5120e-01,2.7960e+00,4.4010e-01,8.2980e+04,-5.1370e+05,1.5260e+04,3.9930e+05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.0210e+04,4.1740e+04,2.5200e+05,2.0290e+05,9.0820e-09
1.0985e-01,3.5500e-01,1.3300e+00,4.1220e+00,-1.0310e+00,1.3100e+00,6.6860e-01,3.5500e-01,4.5090e-01,7.5100e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,5.2940e-01,3.5180e+00,8.7950e-01,1.0930e+05,-5.4800e+05,1.1120e+04,4.0230e+05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.5230e+04,4.7820e+04,2.8910e+05,2.0450e+05,8.6190e-09
1.2389e-01,9.4240e-01,2.0360e+00,4.7350e+00,-1.7420e+00,2.4200e+00,1.2220e+00,9.4240e-01,7.0990e-01,1.0810e-01,1.1200e-14,1.0030e-14,1.5620e-14,0.0000e+00,5.0200e-01,4.1250e+00,1.3260e+00,1.3780e+05,-5.7250e+05,6.8610e+03,4.0230e+05,0.0000e+00,-5.4050e+04,9.3440e+03,1.1390e+05,2.0930e-01,-7.8590e+05,3.0550e+04,5.4450e+04,3.2070e+05,2.0750e+05,8.0720e-09
1.3785e-01,1.8700e+00,2.9680e+00,5.1950e+00,-3.1030e+00,4.0950e+00,2.2120e+00,1.8700e+00,1.2540e+00,9.8070e-02,1.0680e-13,9.6630e-14,1.4880e-13,0.0000e+00,4.7870e-01,4.6190e+00,1.7140e+00,1.6840e+05,-5.8920e+05,2.6040e+03,4.0010e+05,0.0000e+00,-5.3100e+04,2.2150e+04,1.1470e+05,6.7060e-01,-7.6380e+05,3.6230e+04,6.1950e+04,3.4770e+05,2.1160e+05,7.5980e-09
1.5172e-01,3.1260e+00,3.9110e+00,5.6170e+00,-5.3400e+00,6.2720e+00,3.6640e+00,3.1260e+00,1.9150e+00,1.1150e-01,3.1100e-13,2.8510e-13,4.3180e-13,0.0000e+00,5.0610e-01,5.0000e+00,1.9960e+00,1.9900e+05,-6.0170e+05,1.5850e+03,3.9650e+05,1.4690e+03,-3.4270e+05,3.2760e+04,1.1590e+05,1.1730e+00,-7.4210e+05,4.2310e+04,6.9980e+04,3.7020e+05,2.1670e+05,7.9240e-09
1.6551e-01,4.5130e+00,4.6910e+00,5.9220e+00,-8.3190e+00,8.5080e+00,5.2710e+00,4.5130e+00,2.5500e+00,1.6720e-01,6.4200e-13,6.0190e-13,8.8700e-13,0.0000e+00,4.8600e-01,5.2690e+00,2.1410e+00,2.2630e+05,-6.1470e+05,5.6410e+03,3.9180e+05,1.2740e+04,-3.2930e+05,4.1300e+04,1.1710e+05,1.7140e+00,-7.2080e+05,4.8770e+04,7.8440e+04,3.8830e+05,2.2270e+05,7.4990e-09
